Pflanze;Pflanzenfamilie;"günstige Partner";"ungünstige Partner";Vorkultur / Nachkultur;"1. Aussaattiefe in cm /2. Keimtemperatur(optimal/minimum) in °C /3. Keimdauer in Tagen /4. Keimfähigkeit der Samen in Jahren";Bemerkungen
Mungbohne, Vigna- Bohne;;(Vigna radiata);;;- / - / - / 4-5;Mittelwurzler, Bodengare fördernd Neuseeländer Spinat (Tetragonia tetragonioides);Eiskrautgewächse;Kohlrabi, Kopfsalate, Radieschen, Rettiche, Tomaten;;;- / - / 30-40 / 2-5;"Mittel-, bis Schwachzehrer, lange Keimdauer" 
Okras (…);Malvengewächse;;;;- / - / - / -;
Oregano (Origanum vulgare);Lippenblütengewächse;Kohl;;;- / (15-18/12) / - / 1-3;Lichtkeimer
Pak Choi (Brassica rapa ssp. Chinensis);Kreuzblütengewächse;;;;1 / (20-25/18) / - / >6;Mittelzehrer
Palerbse siehe Erbse;;;;;- / - / - / -;
Paprika, Gemüsepaprika (Capsicum annuum);Nachtschattengewächse;Basilikum, Gurken, Kapuzinerkress e, Knoblauch, Kohlrabi, Ringelblumen, Sellerie;Kartoffeln, Kohl, Wein, Ysop;Radieschen, Salate / Senf;1 / (25-28/6,7) / 8-12 / 4-6;Stark- bis Mittelzehrer, Mittelwurzler, Bodengare fördernd, in Mischkultur mit Auberginen, Gartenbohnen und Tomaten gibt es widersprüchliche Informationen 
"Pastinaken (Pastinaca sativa)";Doldenblütengewächse;Gartenmelde, Kartoffeln, Mairüben, Radieschen, Rettiche, Rote Bete, Salate, Spinat, Zwiebeln;Fenchel, Möhren, Sellerie;;1-2 / (15-25/6) / 21-28 / 1-3;Mittelzehrer, Tiefwurzler, Bodengare belastend
Pepino (…);Nachtschattengewächse;;;;- / - / - / -;Bodengare fördernd
Pepo-Kürbis, Gemüsekürbis, Gartenkürbis (Cucurbita Pepo);Kürbisgewächse;;;;2,5 / (15-20/-) / 8-12 / 4-5;Starkzehrer, Tiefwurzler, Bodengare fördernd
Perlzwiebel (Allium ampeloprasum ssp.);Zwiebelgewächse;;;;- / - / - / -;
Petersilie (Blattpetersilie) (Petroselinum crispum);Doldenblütengewächse;Angelika, Artischocken, Basilikum, Kartoffeln, Knoblauch, Liebstöckel, Porree, Radieschen, Rettiche, Ringelblumen, Spargel, Tomaten;Kohl, Lavendel, Möhren, Pastinaken, Salate, Sellerie;;1-2 / (25/0) / 21-35 / 2-3;Mittelzehrer, Flachwuezler, Bodengare belastend, Anbaupause von mindestens 4 Jahren einhalten
Pfirsiche (Prunus persica);Rosengewächse;Knoblauch, Meerrettich;Kerbel;;- / - / - / -;Meerrettich unter Pfirsich gepflanzt soll gegen Kräuselkrankheit und Monilia helfen
Pflaumen (Prunus domestica);Rosengewächse;Fingerhut, Himbeeren, Johannisbeere n, Knoblauch;;;- / - / - / -;
Phacelia (…);Raublattgewächse;;;;- / - / - / -;
Pimpinelle (…);Rosengewächse;;;;2 / (16-25) / 6 / - / -;
Portulak siehe Sommer- oder Winterportulak;;;;;- / - / - / -;
Porree, Lauch (Allium porrum);Liliengewächse;Dill, Endivien, Erdbeeren, Feldsalat, Fenchel, Grünkohl, Gurken, Kamille, Kohlrabi, Kohl, Kopfsalate, Möhren, Radieschen, Rettiche, Rosenkohl, Schwarzwurzel n, Sellerie, Spinat, Tomaten;"Erbsen, Gartenbohnen , Knoblauch, Majoran, Rote Bete, Spargel";Kohlrabi, Salate;1-2 / (20-25/1,7) / 14-16 / 1-3;Stark- Mittelzehrer, Flachwurzler, Kamille soll vor Lauchmotten und Bodenkrankheiten schützen, in Mischkultur mit Brokkoli und Schnittlauch gibt es widersprüchliche Informationen, Rettich oder Wermut als Unterpflanzung soll Lauchmotte fernhalten
Puffbohne, Ackerbohne, Pferdebohne, Saubohne, Dicke Bohne (Vicia faba);Schmetterlingsblütler;Basilikum, Bohnenkraut, Brokkoli, Gartenmelde, Kartoffeln, Kerbel, Majoran, Möhren, Rosenkohl, Rosmarin, Spinat, Stachelbeeren, Thymian, Winterportulak;Erbsen, Fenchel, Gartenbohnen;;3-5 / (20/0,4) / 8-10 / 4-8;Schwachzehrer, Mittelwurzler, Bodengare fördernd, Hafer soll schwarze Bohnenlaus fernhalten
Quinoa, Reismelde, Reisspinat (Chenopodium quinoa);;;;;- / - / - / 4-5;
Quitten (…);Rosengewächse;;;;- / - / - / -;
Radicchio (Cichorium intybus);Korbblütengewächse;Fenchel, Gartenbohnen, Kopfsalate, Möhren, Rote Bete, Tomaten, Zwiebeln;;;- / - / - / -;Mittel- Schwachzehrer"
Radieschen(Raphanus sativus)";Kreuzblütengewächse;Eiskraut, Feldsalat, Gartenbohnen, Gartenkresse, Gartenmelde, Kohlrabi, Mangold, Möhren, Pastinaken, Porree, Salate, Spinat, Tomaten;Brokkoli, Chinakohl, Grünkohl, Gurken, Kopfkohl, Radieschen, Rettiche, Rosenkohl, Senf, Zwiebeln;;0,5-1 / (20/1,2) / 8-14 / 4-6;Mittel- Schwachzehrer, Flachwurzler, Gartenkresse und Salat hält Erdflöhe fern
Raps (Brassica napus ssp. Napus);Kreuzblütengewächse;;;;- / - / - / >6;
Rauke (…);Kreuzblütengewächse;;;;- / - / - / -;
Rettiche (Raphanus sativus);Kreuzblütengewächse;Eiskraut, Feldsalat, Gartenbohnen, Gartenkresse, Gartenmelde, Kerbel, Kohlrabi, Koriander, Mangold, Möhren, Pastinaken, Porree, Salate, Schnittlauch, Spinat, Tomaten;Brokkoli, Chinakohl, Grünkohl, Kopfkohl, Radieschen, Rettiche, Rosenkohl, Senf, Wein, Ysop, Zwiebeln;;1 / (20/1,2) / 14-21 / 4-6;Mittel- Schwachzehrer, Gartenkresse und Salat hält Erdflöhe fern, in Mischkultur mit Gurken gibt es widersprüchliche Informationen, Rettich unter den Lauch gepflanzt soll die Lauchmotte fernhalten
Rhabarber (Rheum rhabarbarum);Knöterichgewächse;Feldsalat, Gartenbohnen, Knoblauch, Kohlrabi, Kopfkohl, Kopfsalate, Spinat;;Erbsen und andere Leguminosen (auch Gründüngung);- / - / - / 4-5;
Riesenkürbis, Maxima-Kürbis, (Cucurbita maxima);Kürbisgewächse;;;;2,5 / (15-20/-) / 8-12 / 4-5;Starkzehrer, Tiefwurzler, Bodengare fördernd 
"Ringelblumen(Calendula officinalis)";Korbblütengewächse;Basilikum, Erbsen, Gartenbohnen, Kartoffeln, Kopfkohl, Spargel, Tomaten;;;- / - / 8-14 / 3-4;zu Kartoffeln und Kohl gepflanzt wirken Ringelblumen gegen Nematoden und Drahtwürmer, erhöhen den Ernteertrag und fördern die Bodengesundheit
Roggen (Secale cereale);Süßgräser;;;;- / - / - / >6;
Rosen (…);;Lavendel, Tagetes, Knoblauch;;;- / - / - / -;Knoblauch hat eine bakterizide und fungizide Wirkung auf Rosen, Duft wehrt Blattläuse und Ameisen ab, Lavendel in der Nähe hält  Ameisen und bedingt Läuse fern
Rosenkohl, Sprossenkohl (Brassica oleracea var. gemmifera);Kreuzblütengewächse;Dill, Eberraute, Gartenmelde, Kamille, Kapuzinerkress e, Kartoffeln, Kümmel, Oregano, Porree, Rosmarin, Salate, Salbei, Sellerie, Spinat, Thymian, Tomaten, Wermut, Ysop, Zuckermais;"Brokkoli, Gartenbohnen, Grünkohl,Kopfkohl, Radieschen,Rettiche, Rosenkohl, Senf, Tomaten,Zwiebeln";;1 / (15/-) / 4-8 / >6;Starkzehrer, Mittelwurzler, Salat und Spinat hält Erdflöhe fern, Sellerie und Tomaten hält Kohlweißlinge fern, in Mischkultur mit Pfefferminze und Spinat gibt es widersprüchliche Informationen
Rosmarin (Rosmarinus officinalis);Lippenblütengewächse;Blumenkohl, Brokkoli, Gartenbohnen, Kohlrabi, Möhren, Salbei, Tomaten;Gurken, Kürbisse, Zucchini;;- / - / - / 2-3;Lichtkeimer, soll Kohlweißling vom Kohl und Möhrenfliege von Möhren fernhalten
Rote Bete, Rote Rübe (Beta vulgaris var. vulgaris);Gänsefußgewächse;Bohnenkraut, Brokkoli, Dill, Erbsen, Feldsalat, Gartenbohnen, Grünkohl, Gurken, Kerbel, Knoblauch, Kohlrabi, Kopfkohl, Kopfsalate, Pstinaken, Puffbohnen, Radieschen, Rettiche, Rosenkohl, Zwiebeln;Kartoffeln, Mangold, Möhren, Porree, Spinat, Tomaten, Zuckermais;Kohlrabi, Radieschen, Salate / Senf;2-3 / (20/2,1) / 10-15 / 4-6;Mittelzehrer, Tiefwurzler, Dill in der Nähe halt durch die Duftstoffe Schädlinge ab, Rote Bete in die Nähe von Möhren gepflanzt, soll Fäulniserreger fernhalten, Rote Bete sollte immer am Ende einer Kulturfolge stehen – danach nur noch Gründüngung oder Wiese
Rotkohl, Rotkraut siehe Kopfkohl;;;;;- / - / - / -;
Rukola, Rauke, Ölrauke (Eruca sativa);Kreuzblütengewächse;;;;- / - / - / >6;
Rübsen, Rübsaat, Broccoletto (Brassica rapa ssp. Oleifera);Kreuzblütengewächse;;;;- / - / - / >6;
Eissalate, Kopfsalate, Pflücksalate (Lactuca sativa);Korbblütengewächse;Basilikum, Dill, Erbsen, Erdbeeren, Gartenbohnen, Grünkohl, Gurken, Johannisbeere n, Kerbel, Knoblauch, Kohlrabi, Kopfkohl, Mairüben, Möhren, Portulak, Radieschen, Rhabarber, Rosenkohl, Rote Bete, Thymian, Tomaten, Zuckermais, Zwiebeln;Lavendel, Sellerie, Weinraute;"Sommersalate: Erbsen (frühe Sorten), Kohlrabi, Radieschen / Sommersalate : Endivien, Gurken, Kohl, Mangol";0,5-1 / (15-18/3,5) / 6-10 / 4-5;Mittel- Schwachzehrer, Flachwurzler, Bodengare fördern, Kerbel soll Läuse fernhalten, in Mischkultur mit Brokkoli, Fenchel, Petersilie und Rettich gibt es widersprüchliche Informationen
Salatchrysantheme (Chrysantemum coronarium);;;;;- / - / - / -;
Salatrauke (Eruca stiva);;Erdbeeren, Kopfsalate, Sellerie, Zuckermais;Brokkoli, Grünkohl, Kopfkohl, Radieschen, Rettiche, Rosenkohl, Senf;;- / - / - / -;
Salbei (Salvia officinalis);Lippenblütengewächse;Kohlrabi, Kopfkohl, Möhren, Tomaten;Gurken, Kürbisse, Rosmarin, Wermut, Zucchini;;0,2 / (18-25/12) / - / 2-3;hält von fast allen Gemüsearten die Läuse, Schnecken und Schmetterlinge fern, soll Kohlweißling vom Kohl fernhalten
Sauerampfer (…);Knöterichgewächse;;;;- / - / - / 4-5;
Sauerklee (Oxalis);Sauerkleegewächse;;;;- / - / - / -;gelber europäischer Sauerklee lässt sich als Unterpflanzung leicht entfernen und eignet sich unter anderem, um die Ackerwinde vom Beet zu vertreiben 
Schalotte, Familienzwiebel (Allium cepa var. Ascalonicum Backer);Zwiebelgewächse;;;;- / - / - / -;Schwachzehrer, soll gegen Pilzkrankheiten und Spinnmilben bei Erdbeeren Möhren und bedingt gegen Möhrenfliege schützen
Schlafmohn (Papaver sonniferum);Mohngewächse;;;;- / - / - / 2-3;
Schnittknoblauch, Knolau, Chinesischer Schnittlauch (Allium ramosum L.);Zwiebelgewächse;;;;2 / (18-25/5) / - / 2-3;
Schnittlauch (Allium schoenoprasum);Liliengewächse;Äpfel, Gurken, Johannisbeere n, Kopfkohl, Möhren, Pfirsiche, Porree, Sonnenblumen, Stachelbeeren, Tomaten, Wein;"Erbsen, Gartenbohnen , Majoran, Puffbohnen, Spargel";;2 / (18-25/5) / 14 / 1-3;Mittelzehrer
Schwarzer Senf, Brauner Senf, Indischer Senf, Sareptasenf (Brassica juncea);Kreuzblütengewächse;;;;- / (18-25/3) / - / >6;Lichtkeimer 
"Schwarznessel (Perilla)";Lippenblütengewächse;;;;- / - / - / -;
Schwarzwurzeln (Scorzonera hispanica);Korbblütengewächse;Knoblauch, Kohlrabi, Kopfsalate, Möhren, Porree, Zwiebeln;;- / Feldsalat, Sen;2-3 / (20/2) / 15-20 / <1-3;Mittelzehrer
Knollensellerie, Stangensellerie (Apium graveolens);Doldenblütengewächse;Brokkoli, Gartenbohnen, Grünkohl, Gurken, Kerbel, Knoblauch, Knollenziest, Kohlrabi, Kopfkohl, Paprika, Pastinaken, Porree, Ringelblumen, Rosenkohl, Spinat, Tomaten, Zwiebeln;Angelika, Endivien, Kartoffeln, Liebstöckel, Petersilie, Zuckermais;"Leguminosen (Gründüngung), Winterspinat";- / (20/4,6) / 15 / 2-5;Starkzehrer, Flachwurzler, Bodengare belastend, Saat nur leicht mit Erde bedecken (Licht fördert die Keimung), in Mischkultur mit Dill, Kopfsalat und Möhren gibt es widersprüchliche Informationen, Buchweizen dazu gepflanzt macht Kali aus dem Boden für Sellerie verfügbar
"Silbersamenkürbis (Cucurbita mixta)";Kürbisgewächse;;;;- / - / - / 4-5;Starkzehrer, Tiefwurzler, Bodengare fördernd
Sojabohnen (Glycine max);Schmetterlingsblütler;;;;- / - / - / 4-5;Mittelzehrer, Mittelwurzler, Bodengare fördernd
Sommerportulak, Gemüseportulak (Portulaca oleracea ssp. sativa);Portulakgewächse;Erdbeeren, Kohlrabi, Radieschen, Rettiche, Salatrauke, Salate, Zuckermais;Winterportulak;;0,2 / (18-25/12) / - / 4-5;Schwachzehrer
Sommerwicke (…);Schmetterlingsblütler;;;;- / - / - / -;Bodengare fördernd
"Sonnenblume (Helianthus annuus)";Korbblütengewächse;;;;- / - / - / >6;
"Sorghumhires (Sorghum ssp.)";Süßgräser;;;;- / - / - / 4-5;
Spargel, Gartenspargel, Gemüsespargel (Asparagus officinalis);Liliengewächse;"Basilikum, Erbsen, Gurken, Kohlrabi, Kopfsalate, Möhren, Petersilie, Radieschen, Ringelblumen, Tomaten, Wein";Kartoffeln, Knoblauch, Porree, Schnittlauch, Zwiebeln;;- / - / 25-35 / 4-5;Starkzehrer, Tiefwurzler, Bodengare belastend
Spargelerbsen, Flügelerbse (Tetragonolobus purpureus);Schmetterlingsblütler;Erbsen;;;- / - / - / 4-5;Schwachzehrer, Mittelwurzler, Bodengare fördernd
Spinat (Spinacia oleraceae);Gänsefußgewächse;Birnen, Dill, Erdbeeren, Grünkohl, Gurken, Kartoffeln, Kohlrabi, Koriander, mairüben, Meerrettich, Möhren, Pastinaken, Puffbohnen, Radieschen, Rhabarber, Rosenkohl, Sellerie, Tomaten, Zuckermais;"Feldsalat, Gartenmelde, Mangold, Rote Bete, Zwiebeln";;2 / (15-20/0,1) / 8-14 / 2-5;Mittel- Schwachzehrer, in Mischkultur mit Kopfkohl und Rettich gibt es widersprüchliche Informationen
Stachelbeeren (Ribes uva-crispa);Stachelbeergewächse;Fingerhut, Johannisbeere n, Knoblauch, Puffbohnen, Tomaten;;;- / - / - / -;
"Stangenbohne siehe Gartenbohne";;;;;- / - / - / -;
Stielmus oder Rübstiel siehe Herbstrübe;Kreuzblütengewächse;;;;- / - / - / -;
Stockrose (…);;Wermut;;;- / - / - / -;Wermut schützt vor Malvenrost
Tagetes, Studentenblume (...);;Rosen;;;- / - / - / -;Tagetes wirken gegen Nematoden, Drahtwürmer, erhöht den Ernteertrag, fördert die Bodengesundheit bei Erdbeeren, Kartoffeln, Kohl und Tomaten
"Teltower Rübchen(…….)";Kreuzblütengewächse;;;;1 / (18-22/3) / - / -;Mittelzehrer
Thymian (Thymus vulgaris);Lippenblütengewächse;;Gurken, Kürbisse, Zucchini;;- / (16-22/6) / - / 2-3;"Lichtkeimer, hält allgemein alle Schadinsekten fern"
Topinambur, Erdbirne (Helianthus tuberosus);Korbblütengewächse;Zuckermais;;;- / - / - / <1;
Tomaten (Lycopersicon esculentum);Nachtschattengewächse;"Basilikum, Borretsch, Chicorée, Dill, Fingerhut, Gartenbohnen, Gurken, Kapuzinerkress e, Knoblauch, Kohlrabi, Kopfsalate, Meerrettich, Neuseeländer Spinat, Petersilie, Pfefferminze, Porree, Radicchio, Radieschen, rettiche, Ringelblumen, Rosmarin, Salbei, Schnittlauch, Sellerie, Spargel, Spinat, Stachelbeeren, Tagetes, Thymian, Zinnien, Zitronenmelisse , Zwiebeln";Aprikosen, Auberginen, Erbsen, Kartoffeln, Kümmel, Rote Bete, Wermut, Zuckermais;"Kohlrabi, Senf, Spinat / Leguminosen (Gründüngung), Ringelblumen,Sen";1 / (20-25/8,7) / 6-8 / >6;"Starkzehrer, Tiefwurzler, Bodengare fördernd, in Mischkultur mit Fenchel, Kopfkohl, Möhren und Paprikas gibt es widersprüchliche Informationen, Ringelblumen und/oder Tageteswirken gegen Nematoden und Drahtwürmer, erhöhen den Ernteertrag und fördern die Bodengesundheit"
Tomatillo (Physalis peruviana);Nachtschattengewächse;;;;- / - / - / >6;Bodengare fördernd
"Wachskürbis (Benincasa hispida)";Kürbisgewächse;;;;- / - / - / 4-5;Starkzehrer, Tiefwurzler, Bodengare fördernd
Waldmeister (…);Rötegewächse;;;;1 / (5-12/-) / - / -;Frostkeimer
"Wassermelone (Citrullus lanatus)";Kürbisgewächse;;;;2 / (25-28/12,1) / - / 3->6;Mittelzehrer, Mittelwurzler, Bodengare fördernd
Wein (Vitis vinifera);;Basilikum, Borretsch, Brombeeren, Spargel, Ysop;Kopfkohl, Rettiche, Salbei;;- / - / - / -;Pfefferminze unter Wein gepflanzt hilft gegen Mehltau
Weinraute (Ruta graveolens);Rautengewächse;Himbeeren;Basilikum, Estragon, Kamille, Kerbel, Kopfsalate, Lavendel, Salbei, Zitronenmeliss e, Zucchini;;- / - / - / -;
Weißkohl, Weißkraut siehe Kopfkohl;;;;;- / - / - / -;
Weizen (Triticum aestivum ssp. Aestivum);Süßgräser;;;;- / - / - / >6;
Wermut (Artemisia absinthium);Korbblütengewächse;Johannisbeere n, Kohl, Möhren;Basilikum, Fenchel, Kümmel, Salbei, Tomaten;;- / (18-25/6) / - / -;Lichtkeimer, Wermut schützt Johannisbeeren vor Säulenrost und soll die Lauchmotte vom Porree fernhalten
Winterheckezwiebel, Winterzwiebel, Stängelzwiebel, Lauchzwiebel (Allium fistolosum);Zwiebelgewächse;;;;- / - / - / 2-3;
Winterportulak (Montia perfoliata, syn. Claytonia perfoliata);Portulakgewächse;Asia-Salate, Feldsalat, Gartenmelde, Salatrauke, Salate, Spinat;Sommerportul ak;;0,2 / (18-25/12) / - / 4-5;Schwachzehrer
Wirsing, Welschkohl (B. o. Ssp. Convar capitata var. Sabauda);Kreuzblütengewächse;;;;1 / (15/8) / 5-8 / 4-6;Starkzehrer, Mittelwurzler
Wurzelpetersilie (…);Doldenblütengewächse;Angelika, Artischocken, Basilikum, Kartoffeln, Knoblauch, Liebstöckel, Porree, Radieschen, Rettiche, Ringelblumen, Spargel, Tomaten;Kohl, Lavendel, Möhren, Pastinaken, Salate, Sellerie;;1 / (18-25(3) / - / -;Bodengare belastend, Anbaupause von mindestens 4 Jahren einhalten
Ysop (Hyssopus officinalis);Lippenblütengewächse;Kohlrabi, Kopfkohl, Wein;Rettiche;;- / (18-25/12) / - / 2-3;Lichtkeimer
"Zitronenmelisse (Melissa officinalis)";Lippenblütengewächse;;Fenchel, Weinraute;;- / (20-30/12) / - / 2-3;Lichtkeimer
Zucchini (Cucurbita pepo);Kürbisgewächse;Basilikum, Borretsch, Erbsen, Fenchel, Gartenbohnen, Gartenmelde, Kapuzinerkress e, Spinat, Zuckermais, Zwiebeln;Kartoffeln, Radieschen, Rettiche, Rosmarin, Salbei, Thymian, Weinraute;"Leguminosen(Gründüngung) / Senf";2,5 / (15-20/-) / - / 4-5;Starkzehrer, Mittelwurzler, Bodengare fördernd, in Mischkultur mit Salaten gibt es widersprüchliche Informationen
"Zuckererbse siehe Erbse";;;;;- / - / - / -;
Zuckerhutsalat (…);Korbblütengewächse;;;;2 / (20-25/12) / - / -;
Zuckermais (Zea mays Saccharata Grp.);Süßgräser;Birnen, Dill, Erbsen, Gartenbohnen, Gurken, Kartoffeln, Kürbisse, Rosenkohl, Salate, Sonnenblumen, Spinat, Thymian, Zucchini;Rote Bete, Sellerie;Phacelia, Senf, Spinat / Phacelia, Senf;2-4 / - / 1-2 / 2-5;Stark- Mittezehrer, Flachwurzler, Bodengare belastend
Zuckermelone, Honigmelone (Cucumis melo);;Kartoffeln;;;2 / (25-25/12,1) / - / 4-6;Starkzehrer, Mittelwurzler, Bodengare fördernd
Zuckerwurzel, Süßwurzel (Sium sisarum);Doldenblütengewächse;;;;- / - / - / 1-3;Bodengare belastend
Zwiebel, Küchenzwiebel, Speisezwiebel, Sommerzwiebel, Bolle (Allium cepa);Zwiebelgewächse;Dill, Erdbeeren, Feldsalat, Gurken, Kamille, Majoran, Pastinaken, Salate, Schwarzwurzel n, Sellerie, Tomaten, Zucchini;Auberginen, Erbsen, Kartoffeln, Majoran, Radieschen, Rettiche, Spargel, Spinat;- / Endivien, Herbstrüben, Petersilie;1-2 / (15-20/1,4) / 2 / 1-3;Mittel- Schwachzehrer, Flachwurzler, Kamille soll vor Lauchmotten und Bodenkrankheiten schützen, Majoran soll vor Mehltau schützen, in Mischkultur mit Gartenbohnen, Kopfkohl, Möhren und Rote Bete gibt es widersprüchliche Informationen, Zwiebel soll gegen Pilzkrankheiten und Spinnmilben bei Erdbeeren und Möhren und bedingt gegen Möhrenfliege schützen
